True;report_time;location;incident_type;summary;raw_string
1504248;2015-10-15 09:13:00;HEALTHCARE CENTER 1;TRAFFIC;to  10/15/15;[new_line][new_line]10/15/15  9:13 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]HEALTHCARE CENTER 1[new_line][new_line]Report #:[new_line][new_line]1504248[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15  9:13 am[new_line]-[new_line]TRAFFIC[new_line]A non-USC female drove her vehicle onto a sidewalk to avoid a collision with pedestrians.  There was no damage to the [new_line]vehicle or any property.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line]Disposition: CLOSED[new_line][new_line]10:15 am[new_line][new_line]-[new_line][new_line]
1504249;2015-10-15 10:31:00;ROBERT GLEN RAPP ENGINEERING RESEARCH  BUILDING;;;[new_line][new_line]10/15/15 10:31 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ROBERT GLEN RAPP ENGINEERING RESEARCH [new_line]BUILDING[new_line][new_line]Report #:[new_line][new_line]1504249[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1504250;2015-10-15 10:25:00;HEALTHCARE CENTER 2;FIRE;to;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/15/15 10:25 am[new_line]FIRE[new_line]Students activated a fire alarm from a pull station after observing smoke from another student's experiment.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Alarm Smoke[new_line][new_line]10:30 am[new_line][new_line]10/15/15[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/15/15 10:43 am[new_line][new_line]Location:[new_line][new_line]HEALTHCARE CENTER 2[new_line][new_line]Report #:[new_line][new_line]1504250[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15 10:43 am[new_line]-[new_line]SERVICE[new_line]A non-USC male was treated and released at the scene after experiencing an elevated heart rate.[new_line][new_line]Illness Response[new_line][new_line]11:18 am[new_line][new_line]Disposition: CLOSED[new_line][new_line]-[new_line][new_line]
1504251;2015-10-15 11:04:00;PARKING STRUCTURE A;SERVICE;to;[new_line][new_line]10/15/15 11:04 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE A[new_line][new_line]Report #:[new_line][new_line]1504251[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]-[new_line]10/15/15 11:04 am[new_line]SERVICE[new_line]A student was transported to SHC for medical treatment after falling and sustaining injuries to his head, knee and ankle.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Injury Response[new_line][new_line]11:05 am[new_line][new_line]10/15/15[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504252;2015-10-15 12:34:00;2343 SCARFF ST;THEFT-GRAND;to  10/15/15;[new_line][new_line]10/15/15 12:34 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]2343 SCARFF ST[new_line][new_line]Report #:[new_line][new_line]1504252[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/14/15  5:00 pm[new_line]THEFT-GRAND[new_line]A suspect removed two bicycles.[new_line][new_line]-[new_line][new_line]12:00 pm[new_line][new_line]Theft Grand-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504253;2015-10-15 13:13:00;USC CREDIT UNION BUILDING;THEFT-PETTY;10/15/15  -  to;[new_line][new_line]10/15/15  1:13 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]USC CREDIT UNION BUILDING[new_line][new_line]Report #:[new_line][new_line]1504253[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/15/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/15/15 11:45 am[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 1:15 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1504254;2015-10-15 14:16:00;HEALTH SCIENCES CAMPUS PARKING  STRUCTURE;PROPERTY;to  10/14/15;[new_line][new_line]10/15/15  2:16 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]HEALTH SCIENCES CAMPUS PARKING [new_line]STRUCTURE[new_line][new_line]Report #:[new_line][new_line]1504254[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/14/15[new_line][new_line]10/14/15 11:00 pm[new_line]PROPERTY[new_line]A student reported his USC parking permit missing.[new_line][new_line]11:00 pm[new_line][new_line]-[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504255;2015-10-15 12:06:00;PARKING STRUCTURE A;SERVICE;to  10/15/15;[new_line][new_line]10/15/15 12:06 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE A[new_line][new_line]Report #:[new_line][new_line]1504255[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15 12:06 pm[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for psychiatric evaluation.[new_line][new_line] 3:54 pm[new_line][new_line]-[new_line][new_line]Commitment To Mental Health For 72 Hrs[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504257;2015-10-15 15:07:00;PARKING STRUCTURE C;TRAFFIC;to  10/13/15;[new_line][new_line]10/15/15  3:07 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE C[new_line][new_line]Report #:[new_line][new_line]1504257[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/13/15[new_line][new_line]-[new_line]10/13/15  5:30 pm[new_line]TRAFFIC[new_line]A staff member backed her vehicle into a student's vehicle, causing unspecified damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line] 5:30 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504258;2015-10-15 15:44:00;28TH ST & FLOWER ST;BURGLARY-MOTOR VEHICLE;to  10/15/15;[new_line][new_line]10/15/15  3:44 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]28TH ST & FLOWER ST[new_line][new_line]Report #:[new_line][new_line]1504258[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15  3:30 pm[new_line]BURGLARY-MOTOR VEHICLE[new_line]A suspect removed a laptop computer.[new_line][new_line]-[new_line][new_line] 3:40 pm[new_line][new_line]Burglary-Motor Vehicle[new_line][new_line]Disposition: Open[new_line][new_line]
